Ahr,Anxa11,Birc5,Rhoa,Atm,Bex2,Brca1,Brca2,Birc6,Bub1,Bub1b,Bub3,Calm1,Calm3,Calm2,Aspm,Cast,Rb1cc1,Ccna1,Ccna2,Ccnb2,Ccnd1,Ccnd2,Ccnd3,Ccne1,Ccne2,Ccnf,Ccng1,Ccng2,Ccnk,Ccnt1,Cd2ap,Cdc25a,Cdc25b,Cdc25c,Cdk1,Cdk11b,Cdc45,Cdc7,Cdk2,Cdk4,Cdk5,Cdk5r1,Cdk6,Cdk7,Cdkn1a,Cdkn1b,Cdkn1c,Cdkn2a,Cdkn2b,Cdkn2c,Cenpc1,Cetn3,Chek1,Cit,Plk3,Csnk2a1,Csnk2a2,Smc3,Gadd45a,Ddit3,Dmc1,E2f1,E2f3,E4f1,Mapre1,Ect2,Erh,Evi5,Ppm1g,Smc2,Foxm1,Gas1,Gas2,Gnai1,Gnai2,Gnai3,Gnb2l1,Pdpn,Cdca3,Gsg2,Gspt2,Hcfc1,Hells,Hhex,H2afx,Hmg20b,Hmga2,Incenp,Cep250,Cuzd1,Ajuba,Kif11,Kif13a,Kif2a,Lats1,Arhgef2,Lig1,Lig3,Anxa1,Mad1l1,Ccndbp1,Mcm3,Mcm2,Mcm4,Mcm5,Mcm6,Mcm7,Anapc1,Melk,Mlf1,Mlh1,Mnat1,Msh2,Sik1,Nedd1,Sept2,Nedd9,Nek1,Nek2,Uhrf1,Nudc,Pafah1b1,Kat2b,Pdcd6ip,Cdk14,Pim2,Prkcd,Prkce,Plk1,Pmp22,Sept5,Sept4,Ppp1ca,Ppp1cb,Ppp1cc,Psme3,Ptp4a1,Dusp1,Rab11b,Rad17,Rad21,Rad50,Ran,Rb1,Rbbp4,Rbl1,Rbl2,Upf1,Rgs2,Khdrbs1,Sept8,Siah1a,Siah2,Vps4b,Smarcb1,Son,Spin1,Src,Trim21,Stag1,Stag2,Stk10,Stk11,Aurkc,Aurkb,Aurka,Stra13,Suv39h1,Sycp1,Sycp3,Tbrg1,Terf1,Terf2,Tfdp1,Timeless,Tnks,Trp53,Trp63,Trp73,Tsg101,Ube2i,Uba3,Usp9x,Vrk1,Wee1,Ikzf1,Cdc6,Dmtf1,Jtb,Katna1,Mapk7,Nek3,Nek4,Pin1,Sept3,Smc1a,Tlk2,Ing1,Cetn1,Cetn2,Map3k8,Mapk1,Mapk13,Mapk3,Casp8ap2,Cep110,Racgap1,Zw10,Brd7,Dbf4,Chaf1a,Nbn,Ing4,Nsun2,Cep63,Mapk12,Pttg1,E2f6,Lats2,Mapk6,Spast,Stag3,Chek2,Nasp,Rgs14,Rif1,Knstrn,Camk1,Anapc4,Cdca8,Sept11,Ppp2r2d,Cdc23,E2f7,Zwint,Anapc16,Tspyl2,Banp,Usp2,Dctn3,Blcap,Sept9,Rab11a,Ppm1d,Cks1b,Spag5,Sept1,Foxo4,Dclre1a,Rala,Cts7,Mad2l1,Rbm38,Ensa,Becn1,Actr8,Rassf1,Anapc7,Arl2,Txnip,Arl3,Fzr1,Ruvbl1,Pard6a,Sept6,Dbc1,Psrc1,Gmnn,Bin3,Pard6b,Rnf8,Eid1,Smpd3,Maea,Anapc5,Arpp19,Nek6,Wtap,Cables1,Ralb,Sirt2,Suv39h2,B230120H23Rik,Tipin,Ska2,Anapc11,Bccip,Cks2,Rgcc,Haus2,Mplkip,Cenpw,Sac3d1,Cdc26,Spc25,Ska1,Cul7,Mis18a,Mcm8,Ccnh,Chmp3,Dsn1,Nuf2,Zfp830,2610002M06Rik,Pmf1,Ndc80,Dynlt3,Mastl,Mis12,Fbxo5,Arl8b,Cdt1,Nde1,Cinp,Klhl13,Poc5,Ccar1,Spc24,Ctdp1,Itgb3bp,Cdca5,Ppp6c,Fam32a,Setd8,Ccny,Zwilch,Pdcd2l,Ino80,Ncapd2,Steap3,Nsmce2,Sgol2,Cgref1,Ube2c,Arl8a,Anln,Cgrrf1,Mcts1,Anapc10,Anapc13,Mll5,Avpi1,Trnp1,Bod1,Nup37,Nup43,Apitd1,Cdc16,Smc4,Kif18b,Spdl1,Pak4,Oip5,Spdya,Nipbl,Asun,Rcbtb1,Foxn3,Cdc5l,Lrrcc1,Ankle2,Syce2,Fam83d,Mad2l2,Haus5,Ist1,Esco2,Urgcp,Dscc1,Tpx2,Seh1l,Strada,Ccpg1,Cdkn3,Sgol1,Rhno1,Rps6kb1,Lin9,Cul4b,Rint1,Sass6,Pard3b,Hepacam,Appl1,Cenpv,Kif2b,Haus7,Thap1,Kif2c,4632434I11Rik,Syce1,Cep55,Usp16,Katnb1,Sept14,Specc1l,Mau2,Spdyb,Ppp1r1c,Anapc15,Syce3,Ckap5,Ncapg2,Pcnp,Fbxo31,Casc5,Haus8,Clasp2,Clasp1,Ticrr,Kdm8,Apex2,Bora,Esco1,Ube2s,Ncapd3,Cacul1,Ckap2,Tex14,Wdr6,Usp8,Csnk1a1,Pard6g,Pard3,Cdc123,Anapc2,Rcc1,Pds5b,Mapre3,Hepacam2,Gadd45gip1,Mtus1,Sept10,Fbxw11,E2f4,Pelo,Cdk20,Sgsm3,Mtbp,Mrpl41,Cdc20,Nusap1,Rcc2,Cdca2,E2f8,Uhrf2,Prr5,Pkn2,Rps6ka3,Chaf1b,Vps4a,Smc1b,Tmprss11a,Nek11,Kntc1,Dis3l2,Fanci,Ccnb3,Trp53bp2,Hace1,Papd7,Mcmbp,Lzts1,Tfdp2,Fancd2,Zfyve26,Mapre2,Spice1,Rassf4,Map9,Tet2,Cdc73,Cep164,Papd5,Chtf18,Chtf8,Ncaph,Rab11fip3,Rassf2,Cdc34,Plk5,Appl2,Usp22,Cntrob,Kctd11,Llgl2,Mis18bp1,Nek9,Ccno,Wapal,Dlgap5,Haus4,Ska3,Ankrd54,Pim3,Rbbp8,Pik3c3,Mapk4,Haus1,Smc5,Lzts2,Ahctf1,Stradb,Rabgap1,Tlk1,Pogz,Cdc14a,Cenpe,Crocc,Phf13,Haus3,Lin54,Gak,Chfr,Zc3hc1,Prc1,Nae1,Txnl4b,Chmp1a,Sept7,Usp3,Dync1li1,Ercc6l,Vash1,Setdb2,Gmnc,Lmln,Mdc1,Fsd1,Kif20b,Klhl9,E2f2,Klhl21,Stard13,Npat,Cables2,Rab11fip4,Ccnb1,Pkmyt1,Clspn,Taf1,Marveld1,Spin2,Lig4,Usp37,Tacc1,Ddx11,Senp5,Cenpt,Sycp2,Usp44,Ep300,Dixdc1,Txlng,Nsl1,Brsk1,4922501C03Rik,Fbxl7,Mcin,cycleStageName
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete
Entrez\ ID=11622,Entrez\ ID=11744,Entrez\ ID=11799,Entrez\ ID=11848,Entrez\ ID=11920,Entrez\ ID=12069,Entrez\ ID=12189,Entrez\ ID=12190,Entrez\ ID=12211,Entrez\ ID=12235,Entrez\ ID=12236,Entrez\ ID=12237,Entrez\ ID=12313,Entrez\ ID=12315,Entrez\ ID=12314,Entrez\ ID=12316,Entrez\ ID=12380,Entrez\ ID=12421,Entrez\ ID=12427,Entrez\ ID=12428,Entrez\ ID=12442,Entrez\ ID=12443,Entrez\ ID=12444,Entrez\ ID=12445,Entrez\ ID=12447,Entrez\ ID=12448,Entrez\ ID=12449,Entrez\ ID=12450,Entrez\ ID=12452,Entrez\ ID=12454,Entrez\ ID=12455,Entrez\ ID=12488,Entrez\ ID=12530,Entrez\ ID=12531,Entrez\ ID=12532,Entrez\ ID=12534,Entrez\ ID=12537,Entrez\ ID=12544,Entrez\ ID=12545,Entrez\ ID=12566,Entrez\ ID=12567,Entrez\ ID=12568,Entrez\ ID=12569,Entrez\ ID=12571,Entrez\ ID=12572,Entrez\ ID=12575,Entrez\ ID=12576,Entrez\ ID=12577,Entrez\ ID=12578,Entrez\ ID=12579,Entrez\ ID=12580,Entrez\ ID=12617,Entrez\ ID=12626,Entrez\ ID=12649,Entrez\ ID=12704,Entrez\ ID=12795,Entrez\ ID=12995,Entrez\ ID=13000,Entrez\ ID=13006,Entrez\ ID=13197,Entrez\ ID=13198,Entrez\ ID=13404,Entrez\ ID=13555,Entrez\ ID=13557,Entrez\ ID=13560,Entrez\ ID=13589,Entrez\ ID=13605,Entrez\ ID=13877,Entrez\ ID=14020,Entrez\ ID=14208,Entrez\ ID=14211,Entrez\ ID=14235,Entrez\ ID=14451,Entrez\ ID=14453,Entrez\ ID=14677,Entrez\ ID=14678,Entrez\ ID=14679,Entrez\ ID=14694,Entrez\ ID=14726,Entrez\ ID=14793,Entrez\ ID=14841,Entrez\ ID=14853,Entrez\ ID=15161,Entrez\ ID=15201,Entrez\ ID=15242,Entrez\ ID=15270,Entrez\ ID=15353,Entrez\ ID=15364,Entrez\ ID=16319,Entrez\ ID=16328,Entrez\ ID=16433,Entrez\ ID=16475,Entrez\ ID=16551,Entrez\ ID=16553,Entrez\ ID=16563,Entrez\ ID=16798,Entrez\ ID=16800,Entrez\ ID=16881,Entrez\ ID=16882,Entrez\ ID=16952,Entrez\ ID=17120,Entrez\ ID=17151,Entrez\ ID=17215,Entrez\ ID=17216,Entrez\ ID=17217,Entrez\ ID=17218,Entrez\ ID=17219,Entrez\ ID=17220,Entrez\ ID=17222,Entrez\ ID=17279,Entrez\ ID=17349,Entrez\ ID=17350,Entrez\ ID=17420,Entrez\ ID=17685,Entrez\ ID=17691,Entrez\ ID=17997,Entrez\ ID=18000,Entrez\ ID=18003,Entrez\ ID=18004,Entrez\ ID=18005,Entrez\ ID=18140,Entrez\ ID=18221,Entrez\ ID=18472,Entrez\ ID=18519,Entrez\ ID=18571,Entrez\ ID=18647,Entrez\ ID=18715,Entrez\ ID=18753,Entrez\ ID=18754,Entrez\ ID=18817,Entrez\ ID=18858,Entrez\ ID=18951,Entrez\ ID=18952,Entrez\ ID=19045,Entrez\ ID=19046,Entrez\ ID=19047,Entrez\ ID=19192,Entrez\ ID=19243,Entrez\ ID=19252,Entrez\ ID=19326,Entrez\ ID=19356,Entrez\ ID=19357,Entrez\ ID=19360,Entrez\ ID=19384,Entrez\ ID=19645,Entrez\ ID=19646,Entrez\ ID=19650,Entrez\ ID=19651,Entrez\ ID=19704,Entrez\ ID=19735,Entrez\ ID=20218,Entrez\ ID=20362,Entrez\ ID=20437,Entrez\ ID=20439,Entrez\ ID=20479,Entrez\ ID=20587,Entrez\ ID=20658,Entrez\ ID=20729,Entrez\ ID=20779,Entrez\ ID=20821,Entrez\ ID=20842,Entrez\ ID=20843,Entrez\ ID=20868,Entrez\ ID=20869,Entrez\ ID=20871,Entrez\ ID=20877,Entrez\ ID=20878,,Entrez\ ID=20937,Entrez\ ID=20957,Entrez\ ID=20962,Entrez\ ID=21376,Entrez\ ID=21749,Entrez\ ID=21750,Entrez\ ID=21781,Entrez\ ID=21853,Entrez\ ID=21951,Entrez\ ID=22059,Entrez\ ID=22061,Entrez\ ID=22062,Entrez\ ID=22088,Entrez\ ID=22196,Entrez\ ID=22200,Entrez\ ID=22284,Entrez\ ID=22367,Entrez\ ID=22390,Entrez\ ID=22778,Entrez\ ID=23834,Entrez\ ID=23857,Entrez\ ID=23922,Entrez\ ID=23924,Entrez\ ID=23939,Entrez\ ID=23954,Entrez\ ID=23955,Entrez\ ID=23988,Entrez\ ID=24050,Entrez\ ID=24061,Entrez\ ID=24086,Entrez\ ID=26356,Entrez\ ID=26369,Entrez\ ID=26370,Entrez\ ID=26410,Entrez\ ID=26413,Entrez\ ID=26415,Entrez\ ID=26417,Entrez\ ID=26885,Entrez\ ID=101565,Entrez\ ID=26934,Entrez\ ID=26951,Entrez\ ID=26992,Entrez\ ID=27214,Entrez\ ID=27221,Entrez\ ID=27354,Entrez\ ID=28019,Entrez\ ID=28114,Entrez\ ID=28135,Entrez\ ID=29857,Entrez\ ID=30939,Entrez\ ID=50496,Entrez\ ID=50523,Entrez\ ID=50772,Entrez\ ID=50850,Entrez\ ID=50878,Entrez\ ID=50883,Entrez\ ID=50927,Entrez\ ID=51791,Entrez\ ID=51869,Entrez\ ID=51944,Entrez\ ID=52163,Entrez\ ID=52206,Entrez\ ID=52276,Entrez\ ID=52398,Entrez\ ID=52432,Entrez\ ID=52563,Entrez\ ID=52679,Entrez\ ID=52696,Entrez\ ID=52717,Entrez\ ID=52808,Entrez\ ID=53325,Entrez\ ID=53376,Entrez\ ID=53598,Entrez\ ID=53619,Entrez\ ID=53860,Entrez\ ID=53869,Entrez\ ID=53892,Entrez\ ID=54124,Entrez\ ID=54141,Entrez\ ID=54204,Entrez\ ID=54601,Entrez\ ID=55947,Entrez\ ID=56044,Entrez\ ID=56092,Entrez\ ID=56150,Entrez\ ID=56190,Entrez\ ID=56205,Entrez\ ID=56208,Entrez\ ID=56249,Entrez\ ID=56289,Entrez\ ID=56317,Entrez\ ID=56327,Entrez\ ID=56338,Entrez\ ID=56350,Entrez\ ID=56371,Entrez\ ID=56505,Entrez\ ID=56513,Entrez\ ID=56526,,Entrez\ ID=56742,Entrez\ ID=57441,Entrez\ ID=57784,Entrez\ ID=58220,Entrez\ ID=58230,Entrez\ ID=58521,Entrez\ ID=58994,Entrez\ ID=59003,Entrez\ ID=59008,Entrez\ ID=59046,Entrez\ ID=59126,Entrez\ ID=60532,Entrez\ ID=63955,Entrez\ ID=64143,Entrez\ ID=64383,Entrez\ ID=64707,Entrez\ ID=65964,Entrez\ ID=66131,Entrez\ ID=66140,Entrez\ ID=66156,Entrez\ ID=66165,Entrez\ ID=66197,Entrez\ ID=66214,Entrez\ ID=66296,Entrez\ ID=66308,Entrez\ ID=66311,Entrez\ ID=66406,Entrez\ ID=66440,Entrez\ ID=66442,Entrez\ ID=66468,Entrez\ ID=66515,Entrez\ ID=66578,Entrez\ ID=66634,Entrez\ ID=66671,Entrez\ ID=66700,Entrez\ ID=66934,Entrez\ ID=66977,Entrez\ ID=66983,Entrez\ ID=67028,Entrez\ ID=67037,Entrez\ ID=67052,Entrez\ ID=67117,Entrez\ ID=67121,Entrez\ ID=67139,Entrez\ ID=67141,Entrez\ ID=67166,Entrez\ ID=67177,Entrez\ ID=67203,Entrez\ ID=67236,Entrez\ ID=67455,Entrez\ ID=67463,Entrez\ ID=67500,Entrez\ ID=67629,Entrez\ ID=67655,Entrez\ ID=67733,Entrez\ ID=67849,Entrez\ ID=67857,Entrez\ ID=67922,Entrez\ ID=67956,Entrez\ ID=67974,Entrez\ ID=68014,Entrez\ ID=68079,Entrez\ ID=68142,Entrez\ ID=68298,Entrez\ ID=68428,Entrez\ ID=68501,Entrez\ ID=68549,Entrez\ ID=68567,Entrez\ ID=68612,Entrez\ ID=68724,Entrez\ ID=68743,Entrez\ ID=68755,Entrez\ ID=68995,Entrez\ ID=68999,Entrez\ ID=69010,Entrez\ ID=69188,Entrez\ ID=69534,Entrez\ ID=69539,Entrez\ ID=69556,Entrez\ ID=69736,Entrez\ ID=69912,Entrez\ ID=69928,Entrez\ ID=69957,Entrez\ ID=70099,Entrez\ ID=70218,Entrez\ ID=70385,Entrez\ ID=70584,Entrez\ ID=70645,Entrez\ ID=70891,Entrez\ ID=71175,Entrez\ ID=71177,Entrez\ ID=71330,Entrez\ ID=71375,Entrez\ ID=71702,Entrez\ ID=71710,Entrez\ ID=71782,Entrez\ ID=71846,Entrez\ ID=71878,Entrez\ ID=71890,Entrez\ ID=71909,Entrez\ ID=71955,Entrez\ ID=71988,Entrez\ ID=72046,Entrez\ ID=72107,Entrez\ ID=72119,Entrez\ ID=72124,Entrez\ ID=72149,Entrez\ ID=72278,Entrez\ ID=72391,Entrez\ ID=72415,Entrez\ ID=72440,Entrez\ ID=72508,Entrez\ ID=72568,Entrez\ ID=72584,Entrez\ ID=72772,Entrez\ ID=72776,Entrez\ ID=72823,Entrez\ ID=72927,Entrez\ ID=72993,Entrez\ ID=73139,Entrez\ ID=73470,Entrez\ ID=73738,Entrez\ ID=73754,Entrez\ ID=73804,Entrez\ ID=74041,Entrez\ ID=74075,Entrez\ ID=74107,Entrez\ ID=74112,Entrez\ ID=74187,Entrez\ ID=74222,Entrez\ ID=74392,Entrez\ ID=74549,Entrez\ ID=74673,Entrez\ ID=75276,Entrez\ ID=75430,Entrez\ ID=75459,Entrez\ ID=75786,Entrez\ ID=76044,Entrez\ ID=76302,Entrez\ ID=76454,Entrez\ ID=76464,Entrez\ ID=76478,Entrez\ ID=76499,Entrez\ ID=76707,Entrez\ ID=77011,Entrez\ ID=77035,Entrez\ ID=77622,Entrez\ ID=77744,Entrez\ ID=77805,Entrez\ ID=77891,Entrez\ ID=78658,Entrez\ ID=78832,Entrez\ ID=80986,Entrez\ ID=83560,Entrez\ ID=83669,Entrez\ ID=84092,Entrez\ ID=93687,Entrez\ ID=93737,Entrez\ ID=93742,Entrez\ ID=98828,Entrez\ ID=99152,Entrez\ ID=100088,Entrez\ ID=100710,Entrez\ ID=100732,Entrez\ ID=101202,Entrez\ ID=102060,Entrez\ ID=102103,Entrez\ ID=103080,Entrez\ ID=103583,Entrez\ ID=104394,Entrez\ ID=105083,Entrez\ ID=105278,Entrez\ ID=105835,Entrez\ ID=105837,Entrez\ ID=107733,Entrez\ ID=107995,Entrez\ ID=108907,Entrez\ ID=108911,Entrez\ ID=108912,Entrez\ ID=108961,Entrez\ ID=109113,Entrez\ ID=109270,Entrez\ ID=109333,Entrez\ ID=110651,Entrez\ ID=110749,Entrez\ ID=116733,Entrez\ ID=140557,Entrez\ ID=194597,Entrez\ ID=208583,Entrez\ ID=208628,Entrez\ ID=208718,Entrez\ ID=208836,Entrez\ ID=209091,Entrez\ ID=209456,Entrez\ ID=209462,Entrez\ ID=210106,Entrez\ ID=210711,Entrez\ ID=211134,Entrez\ ID=211586,Entrez\ ID=211651,Entrez\ ID=211978,Entrez\ ID=212307,Entrez\ ID=212514,Entrez\ ID=213391,Entrez\ ID=213582,Entrez\ ID=214133,Entrez\ ID=214498,Entrez\ ID=214552,Entrez\ ID=214627,Entrez\ ID=214901,Entrez\ ID=214987,Entrez\ ID=215387,Entrez\ ID=215445,Entrez\ ID=215653,Entrez\ ID=216150,Entrez\ ID=216166,Entrez\ ID=216190,Entrez\ ID=216825,Entrez\ ID=216846,Entrez\ ID=216858,Entrez\ ID=217325,Entrez\ ID=217653,Entrez\ ID=217718,Entrez\ ID=218630,Entrez\ ID=218914,Entrez\ ID=218977,Entrez\ ID=219072,Entrez\ ID=219114,Entrez\ ID=223690,Entrez\ ID=223775,Entrez\ ID=225182,Entrez\ ID=225326,Entrez\ ID=225724,Entrez\ ID=225745,Entrez\ ID=226026,Entrez\ ID=226154,Entrez\ ID=226747,Entrez\ ID=227154,Entrez\ ID=227800,Entrez\ ID=228012,Entrez\ ID=229584,Entrez\ ID=229776,Entrez\ ID=229841,Entrez\ ID=230872,Entrez\ ID=230936,Entrez\ ID=231123,Entrez\ ID=231506,Entrez\ ID=231580,Entrez\ ID=231600,Entrez\ ID=232679,Entrez\ ID=233406,Entrez\ ID=234664,Entrez\ ID=234723,Entrez\ ID=234852,Entrez\ ID=235072,Entrez\ ID=235441,Entrez\ ID=235661,Entrez\ ID=236930,Entrez\ ID=238328,Entrez\ ID=239122,Entrez\ ID=239789,Entrez\ ID=239833,Entrez\ ID=240087,Entrez\ ID=240121,Entrez\ ID=240641,Entrez\ ID=242521,Entrez\ ID=242705,Entrez\ ID=242785,Entrez\ ID=243362,Entrez\ ID=244879,Entrez\ ID=252966,Entrez\ ID=268451,Entrez\ ID=268697,Entrez\ ID=268930,Entrez\ ID=269582,Entrez\ ID=270627,Entrez\ ID=277010,Entrez\ ID=278240,Entrez\ ID=319583,Entrez\ ID=319651,Entrez\ ID=320165,Entrez\ ID=320209,Entrez\ ID=320213,Entrez\ ID=320394,Entrez\ ID=320558,Entrez\ ID=327799,Entrez\ ID=328572,Entrez\ ID=330938,Entrez\ ID=353170,Entrez\ ID=381318,Entrez\ ID=381979,Entrez\ ID=382090,Entrez\ ID=448987,Entrez\ ID=622408,class
